Filename,Topic 1,Topic 2,Topic 3
522848newsML.xml,14 (0.5860566832326919),41 (0.4110690652702961),49 (5.988023952108464e-05)
569442newsML.xml,41 (0.6850871171755751),33 (0.15969087124873438),17 (0.06321041526037482)
666883newsML.xml,33 (0.2908402071340254),41 (0.24770622437005185),25 (0.18063276040670634)
610130newsML.xml,33 (0.2590863200248184),5 (0.1773006424550054),14 (0.13243062685769016)
569168newsML.xml,41 (0.5897014610601342),40 (0.28208415109797375),46 (0.06323618548981824)
479635newsML.xml,36 (0.2838022272154871),39 (0.21968652228473837),29 (0.17063896450677363)
570145newsML.xml,39 (0.9760975609755995),49 (0.00048780487804898676),11 (0.00048780487804898676)
609437newsML.xml,17 (0.9489538035213361),47 (0.029712863145299164),49 (0.00044444444444509304)
530170newsML.xml,31 (0.9960483870967719),49 (8.064516129036438e-05),12 (8.064516129036438e-05)
522553newsML.xml,8 (0.7126565223695994),45 (0.16580053869541075),9 (0.07146617458786986)
569959newsML.xml,29 (0.19850428473556359),34 (0.1505833096391396),27 (0.13033297854035783)
610901newsML.xml,19 (0.8499626710486722),11 (0.07419791347450432),32 (0.05874850638589944)
789726newsML.xml,16 (0.7669893450413245),24 (0.11834447938020486),4 (0.061140786565715616)
569990newsML.xml,36 (0.7456196216802049),10 (0.22528946922881915),21 (0.0006060606060620019)
479545newsML.xml,14 (0.4752407664372568),16 (0.2559635386845079),24 (0.12681938516066424)
570235newsML.xml,39 (0.6918623682618059),38 (0.11767250903005995),24 (0.10599507068252231)
609747newsML.xml,36 (0.6189793958740479),26 (0.24300202164932178),38 (0.08762256508751638)
522623newsML.xml,49 (0.5921520007764325),33 (0.20440035500126338),46 (0.09196028891544557)
645289newsML.xml,47 (0.9722115785187448),29 (0.023082539128309706),49 (9.803921568636222e-05)
799070newsML.xml,17 (0.35941423476862994),10 (0.345421577629142),6 (0.2335383621615975)
645240newsML.xml,16 (0.25133469276905257),12 (0.20664890667682267),10 (0.1951346912870781)
657663newsML.xml,24 (0.6672267290877848),33 (0.11389927966072462),22 (0.10146032752764426)
479897newsML.xml,24 (0.5596186944075909),46 (0.196194096889228),25 (0.17346592561613683)
610289newsML.xml,44 (0.5655560943325637),40 (0.17811751169588683),18 (0.13698204466187078)
710411newsML.xml,41 (0.40957128431632484),25 (0.2575125520721008),40 (0.07879857501778802)
569732newsML.xml,16 (0.3457310991238162),26 (0.2507051132589419),21 (0.2269275633177626)
610240newsML.xml,36 (0.34211904394314707),19 (0.1792170505088601),29 (0.16671870039309614)
569218newsML.xml,41 (0.3065755849093877),12 (0.24361813763123977),32 (0.1778664288179101)
789660newsML.xml,22 (0.6326304085595734),8 (0.359869591440415),49 (0.0001562500000002421)
666417newsML.xml,35 (0.48678748086697055),37 (0.18480290435835567),1 (0.15607726853375337)
610847newsML.xml,19 (0.9791489361702062),49 (0.00042553191489374685),12 (0.00042553191489374685)
570529newsML.xml,39 (0.4248912955250411),29 (0.3678930014802874),11 (0.12264419079296494)
609571newsML.xml,13 (0.42462332975097566),24 (0.13722109386918296),36 (0.12384157967785774)
479259newsML.xml,12 (0.7324416260123136),16 (0.11539096295411366),27 (0.07274128275237196)
609092newsML.xml,0 (0.28477501234093133),23 (0.21976345422300123),24 (0.13401088687954263)
479773newsML.xml,16 (0.4251352012450795),40 (0.26480336461356185),17 (0.11626862216996298)
479290newsML.xml,7 (0.5619910316312248),46 (0.21312732847036753),33 (0.199421668208332)
612073newsML.xml,13 (0.3508551931950681),38 (0.22508623675221337),7 (0.16765710873513262)
570003newsML.xml,36 (0.5454018145338771),43 (0.29761329861370295),29 (0.13890796377511197)
610076newsML.xml,26 (0.7166204749445559),42 (0.21884892166586434),23 (0.048039375319392216)
610595newsML.xml,19 (0.9772093023255733),49 (0.00046511627906992647),12 (0.00046511627906992647)
569504newsML.xml,36 (0.4924991680743785),16 (0.18812901675729807),29 (0.09497261339039977)
570832newsML.xml,37 (0.2236555589774609),23 (0.2178332063099887),16 (0.15241155414776814)
645076newsML.xml,8 (0.23457513528750104),13 (0.14858969715924217),1 (0.14717520475324586)
608950newsML.xml,16 (0.7282697605625356),38 (0.082695374214281),2 (0.07711314232856321)
480296newsML.xml,5 (0.4930095057090868),4 (0.23334750567976784),41 (0.172664281942434)
608999newsML.xml,38 (0.9119825146846225),32 (0.07117538005221208),49 (0.00035087719298261007)
611185newsML.xml,19 (0.9803999999999992),49 (0.00040000000000001276),12 (0.00040000000000001276)
611466newsML.xml,19 (0.9824999999999952),49 (0.0003571428571429528),12 (0.0003571428571429528)
478680newsML.xml,24 (0.5111824939743581),14 (0.15841555331644502),30 (0.11496521016566968)
694535newsML.xml,16 (0.5065806886610055),43 (0.1781236179015373),22 (0.13794773514514883)
478363newsML.xml,13 (0.8225176847891674),29 (0.08873634912366636),25 (0.07133855867973565)
478649newsML.xml,16 (0.9879012345678744),49 (0.000246913580247464),12 (0.000246913580247464)
713232newsML.xml,17 (0.37561917948509355),36 (0.2816848305629125),25 (0.21075770159126428)
608482newsML.xml,24 (0.4016344922829327),37 (0.27367719193154794),13 (0.22788278291954894)
571139newsML.xml,11 (0.30182158345865284),37 (0.23685983228079613),43 (0.10705869215248695)
608161newsML.xml,9 (0.47336315687854436),21 (0.4270232632233327),19 (0.07112873141325697)
568925newsML.xml,41 (0.8027989038404737),1 (0.1533671989501535),44 (0.040968043550832375)
611650newsML.xml,19 (0.8940886010215126),6 (0.08064824108372982),49 (0.0005263157894741073)
568608newsML.xml,39 (0.7749068635034346),29 (0.16077299657732735),9 (0.03337269819633009)
568322newsML.xml,36 (0.2824572579483141),24 (0.2331525108309995),37 (0.19394910431373982)
611699newsML.xml,19 (0.9760975609756066),49 (0.0004878048780488385),12 (0.0004878048780488385)
478964newsML.xml,16 (0.6917921112230014),24 (0.06651043383039391),40 (0.06171353791114758)
480543newsML.xml,39 (0.5621932796019034),3 (0.3156041053782019),32 (0.05254346559953379)
480069newsML.xml,16 (0.7548734846127583),13 (0.14301920522750686),42 (0.0546936098441333)
608357newsML.xml,35 (0.9836666666666596),48 (0.0003333333333334767),23 (0.00033333333333347665)
478155newsML.xml,23 (0.24112429443368766),28 (0.22133163628569905),5 (0.1971662271639467)
568863newsML.xml,6 (0.697955878899125),17 (0.21000672410905194),36 (0.052883568815491964)
625989newsML.xml,35 (0.3717710179674102),10 (0.18932830115051213),33 (0.15987862927472765)
660557newsML.xml,2 (0.5541110916194724),7 (0.1492582194854255),17 (0.14292264146698389)
694473newsML.xml,4 (0.7189055403695214),26 (0.22663480146255008),42 (0.04687901300661955)
656932newsML.xml,7 (0.7179217375466204),46 (0.20622679995351295),15 (0.07145893913537266)
478225newsML.xml,23 (0.35853314726712326),7 (0.24531957751445824),29 (0.17261032790577724)
611520newsML.xml,19 (0.9754999999999945),49 (0.0005000000000001068),12 (0.0005000000000001068)
568578newsML.xml,23 (0.32986734197030765),27 (0.32522095389914496),17 (0.25549160716103564)
480633newsML.xml,16 (0.7758687064893248),29 (0.0568235626795055),38 (0.05123204912564323)
608816newsML.xml,5 (0.20524617897549813),20 (0.20060490854274574),16 (0.19466616172604903)
480319newsML.xml,12 (0.480491652085184),16 (0.2763696048523762),10 (0.23496483001894278)
694645newsML.xml,1 (0.4962205376693653),17 (0.2796868594517011),42 (0.11780413333289297)
478013newsML.xml,23 (0.6666426222597963),12 (0.1607514845135244),48 (0.156939226559967)
620754newsML.xml,44 (0.35768055853245634),7 (0.3220717001784981),18 (0.22829957921555943)
632377newsML.xml,4 (0.6291072381695193),37 (0.2177327431412162),8 (0.10436688196144564)
478539newsML.xml,20 (0.39336108750277377),16 (0.24288251516632306),42 (0.19877152722958555)
571249newsML.xml,40 (0.7502275569910204),23 (0.17090953191631744),36 (0.02975811216048696)
608211newsML.xml,23 (0.9255376951465065),37 (0.059916850308013796),11 (0.00030303030303082437)
478822newsML.xml,11 (0.3320898998012451),12 (0.22839831323457482),31 (0.14671736414430941)
480405newsML.xml,21 (0.31473589499387183),29 (0.27616943822595436),12 (0.18972210015921379)
568787newsML.xml,13 (0.5800249608855516),42 (0.20045105746835737),29 (0.12037204875289258)
611716newsML.xml,19 (0.9748717948717889),49 (0.0005128205128206287),12 (0.0005128205128206287)
522690newsML.xml,41 (0.9001240229856411),11 (0.09291945527520987),49 (0.00014492753623227095)
609217newsML.xml,23 (0.5335834885458363),48 (0.1718913883256386),36 (0.09900056418202356)
522659newsML.xml,14 (0.8463039427935264),29 (0.08734011898581559),13 (0.024628980931295036)
570286newsML.xml,16 (0.5834016178495449),21 (0.10925966668592613),49 (0.1030262629236419)
479015newsML.xml,19 (0.9791489361702089),49 (0.0004255319148936902),12 (0.0004255319148936902)
570765newsML.xml,16 (0.27942533102646905),4 (0.20169603591944363),24 (0.19324891412547654)
479824newsML.xml,36 (0.24909158100957732),23 (0.20687661553996037),38 (0.18614914144032738)
569748newsML.xml,23 (0.3525843582178309),36 (0.29207995251480284),42 (0.13693391666371352)
610710newsML.xml,19 (0.9452713372334001),43 (0.03385909754919266),49 (0.00043478260869598054)
569781newsML.xml,23 (0.3468279271288222),12 (0.24655836185631744),36 (0.2102797420303841)
569262newsML.xml,29 (0.7066822074676071),21 (0.1852271238064755),12 (0.06802669729960986)
569865newsML.xml,16 (0.40629306721358915),23 (0.1747817210740827),24 (0.1659120855969868)
666147newsML.xml,5 (0.2797860897887741),18 (0.22808178769157383),33 (0.19884029014561866)
479223newsML.xml,42 (0.7790462794842267),1 (0.19340816539328476),43 (0.02167055512246315)
570553newsML.xml,7 (0.23462676566792567),33 (0.2236080444160403),17 (0.19103877914570105)
661551newsML.xml,41 (0.7975326512066946),48 (0.0840152483724212),40 (0.07384665569719637)
609021newsML.xml,5 (0.25173349565941855),38 (0.19916397986926876),41 (0.15389941089788967)
612009newsML.xml,13 (0.5145457641017773),38 (0.370778360111681),26 (0.09587587578651442)
570079newsML.xml,39 (0.9853731343283502),19 (0.0002985074626867345),49 (0.0002985074626867343)
479709newsML.xml,23 (0.6311987813749583),36 (0.23777784760911946),5 (0.0558521597903863)
569054newsML.xml,16 (0.2719127897103069),25 (0.2376852303582203),23 (0.17110983071950375)
610526newsML.xml,16 (0.4200304216901514),4 (0.35773078236371575),10 (0.10421586097524353)
570848newsML.xml,43 (0.3323765710111994),21 (0.2060561240723981),23 (0.16344261522968187)
609810newsML.xml,39 (0.9541132510488468),12 (0.04190334646151566),49 (8.298755186744452e-05)
570881newsML.xml,29 (0.38428650486593824),4 (0.32735837374707394),44 (0.15309381104867623)
659268newsML.xml,41 (0.5912846913379262),46 (0.2824573345917748),25 (0.12334775735202158)
569324newsML.xml,23 (0.32711700377723274),24 (0.26176896970523855),31 (0.17036057860855927)
610656newsML.xml,19 (0.9833898305084713),49 (0.0003389830508475215),12 (0.0003389830508475215)
529311newsML.xml,46 (0.5062513194812024),4 (0.1802136560937605),27 (0.15220499822080438)
712833newsML.xml,44 (0.8053839571401589),14 (0.0895374308844636),22 (0.04429198426107749)
479962newsML.xml,37 (0.4279324376047993),5 (0.36014813656265016),42 (0.16454843610939987)
479153newsML.xml,2 (0.6012556985073957),33 (0.35492787601529824),16 (0.03337198103285256)
609398newsML.xml,2 (0.8388341399704713),33 (0.12916586002952113),49 (0.0006666666666668261)
570623newsML.xml,16 (0.8263194267724292),15 (0.1484174153328204),49 (0.0005263157894739683)
609351newsML.xml,5 (0.2889948836724156),27 (0.19650720116618794),41 (0.1692312080842444)
570309newsML.xml,20 (0.26905398568676925),37 (0.23445361771321716),23 (0.1971230827746204)
479479newsML.xml,10 (0.5221943868795009),42 (0.4525424552257532),11 (0.0005263157894738709)
645183newsML.xml,41 (0.8453283029859371),7 (0.09687989917139606),32 (0.05002320280131277)
799699newsML.xml,21 (0.30306713983911376),16 (0.27873453044912516),26 (0.26245587097927486)
522832newsML.xml,44 (0.4329488854987751),14 (0.3020695471798053),28 (0.20965587996404855)
609956newsML.xml,26 (0.5734279965899854),42 (0.32703324338657813),16 (0.07661193075513967)
569438newsML.xml,23 (0.2720762922020207),12 (0.2315677155035356),19 (0.164187855255005)
610460newsML.xml,39 (0.3699045545664299),12 (0.26761367641430106),3 (0.2637645445306562)
610183newsML.xml,16 (0.6758111162708929),49 (0.15972786032433794),42 (0.12947429827979198)
569112newsML.xml,32 (0.541846241140062),42 (0.2783208257821041),29 (0.05319914081795554)
609167newsML.xml,19 (0.8793552948571157),9 (0.09723007099654),49 (0.00048780487804883594)
712234newsML.xml,37 (0.7402241891059369),44 (0.08755586608205432),25 (0.062298915943682844)
609484newsML.xml,40 (0.40587085191325206),7 (0.30643435279807385),33 (0.19803858880396774)
522529newsML.xml,25 (0.6736997272413583),8 (0.3138327402910293),12 (0.0002597402597419251)
479365newsML.xml,42 (0.5241487296311502),3 (0.2218360183460996),19 (0.10144391986077411)
570415newsML.xml,37 (0.9807843137254753),11 (0.00039215686274540176),21 (0.00039215686274540176)
479686newsML.xml,23 (0.45025110913883415),5 (0.18754668046606787),30 (0.1315331264419798)
569923newsML.xml,1 (0.36100745494677094),37 (0.21507197578600498),6 (0.15644780611120465)
789795newsML.xml,37 (0.9809807451880803),38 (0.016367321110259868),49 (5.524861878458241e-05)
804704newsML.xml,5 (0.5725291953709376),48 (0.12201170036649722),16 (0.10190004197064825)
609459newsML.xml,23 (0.519508501987573),7 (0.29099053836164185),36 (0.18301820103008803)
570401newsML.xml,41 (0.25775022462662733),38 (0.223578468278737),18 (0.15357087818126344)
479692newsML.xml,23 (0.33020589555017327),44 (0.14100866027546136),17 (0.11992251385166325)
479371newsML.xml,24 (0.31783210423065),5 (0.25178394739141796),48 (0.23729574511515195)
609490newsML.xml,44 (0.7361396230026193),14 (0.21230809955449395),8 (0.04186155579339154)
609173newsML.xml,19 (0.9067985934164061),6 (0.07087582518822605),49 (0.0004651162790701536)
789748newsML.xml,25 (0.31100192978482427),29 (0.2373520906433951),32 (0.23153574835740354)
789781newsML.xml,47 (0.2129835281585111),34 (0.18066159641940752),20 (0.10736325385414112)
569937newsML.xml,16 (0.3270555690937428),10 (0.16273130981439168),34 (0.15130434521658404)
609942newsML.xml,11 (0.4268131115813255),16 (0.26312770981934913),10 (0.1686181296493294)
522826newsML.xml,38 (0.5225598416666657),25 (0.12492237395382139),15 (0.10235073937824972)
645197newsML.xml,41 (0.7192420257029062),30 (0.14664375021628967),49 (0.13097041137176668)
569106newsML.xml,24 (0.36858905495230243),23 (0.35561687858835134),5 (0.07422532559427164)
610197newsML.xml,15 (0.18438533427674955),23 (0.18280964457249557),16 (0.16849885526942845)
731641newsML.xml,34 (0.7461736618074971),1 (0.18847197400652863),32 (0.03738238055570005)
610474newsML.xml,29 (0.34165282755059256),37 (0.26989355755077266),20 (0.16436514144895553)
609345newsML.xml,41 (0.4143648209385913),4 (0.2623640664397832),27 (0.2258151514712173)
570637newsML.xml,29 (0.7649495991660238),24 (0.15807996811524078),48 (0.06204979779801757)
479147newsML.xml,16 (0.5524075209397741),29 (0.2246716637604198),42 (0.1553957608128016)
610642newsML.xml,19 (0.9528540517449453),37 (0.028322418843280753),11 (0.0003921568627452836)
569330newsML.xml,4 (0.2851982853580097),14 (0.21197955389545753),24 (0.19392766510136594)
610368newsML.xml,38 (0.8457919439266778),33 (0.14772156958683214),49 (0.0001351351351352076)
479976newsML.xml,39 (0.9247727525041062),6 (0.051812613349483345),49 (0.0004878048780502148)
645368newsML.xml,37 (0.6655164506874239),47 (0.16071109752245166),44 (0.1357691161201139)
569089newsML.xml,16 (0.31305590062409383),13 (0.209780315780923),24 (0.1658810470159734)
610532newsML.xml,24 (0.500375087403072),4 (0.22101312404688947),22 (0.10877367969749768)
569040newsML.xml,29 (0.6658078711543628),13 (0.16855005675745716),16 (0.1331927032555268)
610018newsML.xml,5 (0.32828729780766597),47 (0.28997040384329825),11 (0.2386556118517093)
619413newsML.xml,14 (0.5066091077806444),41 (0.3187303315687563),13 (0.1470739275067097)
570895newsML.xml,16 (0.623694593945151),13 (0.2456843914577418),21 (0.05969719009572075)
609804newsML.xml,39 (0.9239941882273564),25 (0.05855126631807328),23 (0.0003636363636372923)
610829newsML.xml,19 (0.86056462391315),12 (0.12061184667500446),49 (0.0003921568627467752)
569871newsML.xml,23 (0.6046251817721997),20 (0.25472040041170857),44 (0.07305417541698436)
668187newsML.xml,41 (0.6094500795001236),38 (0.15101232098869793),7 (0.13295692358673916)
609035newsML.xml,24 (0.4669159926521533),30 (0.4179312007627416),25 (0.08435555309805975)
570547newsML.xml,42 (0.8452726139473389),37 (0.14302006897944924),49 (0.00024390243902525059)
661545newsML.xml,22 (0.24635500967960164),37 (0.2320141305583221),24 (0.22241043007973002)
479237newsML.xml,5 (0.4831331167887112),24 (0.25153773094666315),7 (0.16466437809388002)
479830newsML.xml,37 (0.33518058092299086),43 (0.24703364697740007),13 (0.19359121587639333)
569276newsML.xml,24 (0.47131433347671253),2 (0.15466710160076222),5 (0.1325784105208988)
569795newsML.xml,16 (0.3710515818230589),43 (0.23259542393682567),22 (0.1418887762235595)
610704newsML.xml,19 (0.980399999999996),39 (0.00040000000000007586),49 (0.00040000000000007564)
609729newsML.xml,33 (0.4234613814134508),23 (0.2387783419494448),36 (0.1515962715394847)
570771newsML.xml,3 (0.4886733395573741),39 (0.3299870679579898),29 (0.14576466289057502)
570292newsML.xml,11 (0.2944023356195676),25 (0.21984940689548932),29 (0.20490258081493443)
479001newsML.xml,16 (0.815415941987129),3 (0.09123433771338071),30 (0.05188516252432267)
712150newsML.xml,11 (0.42447712185178116),27 (0.1540870463287245),44 (0.15145400092780115)
522684newsML.xml,15 (0.3187088137032807),41 (0.23836970308232305),21 (0.13207142717784673)
609203newsML.xml,41 (0.9477261879345419),46 (0.03755805864792917),49 (0.00979428744889177)
480411newsML.xml,16 (0.6998222123403981),19 (0.13175147255700076),6 (0.08792768044220499)
478836newsML.xml,24 (0.45856735261429726),13 (0.23104902564146682),23 (0.18499160629537012)
611702newsML.xml,19 (0.9095310205777057),37 (0.06959941420488848),11 (0.000434782608695947)
568793newsML.xml,16 (0.42982064777591666),13 (0.3030805697353404),5 (0.19072744780931344)
611228newsML.xml,19 (0.9818518518518434),49 (0.0003703703703705392),12 (0.0003703703703705392)
608205newsML.xml,39 (0.9260049742136689),36 (0.05875693054823019),11 (0.0003174603174604344)
478007newsML.xml,27 (0.3972313491212409),17 (0.20908834660996256),23 (0.19538964730823907)
694651newsML.xml,24 (0.418255276776882),6 (0.21390122101066614),1 (0.13973442395503377)
800844newsML.xml,16 (0.8355999306983787),21 (0.15894552384706281),49 (0.00011363636363662866)
800243newsML.xml,16 (0.5620425003018364),21 (0.38668148222735127),49 (0.048310717786258936)
611534newsML.xml,33 (0.5603095883536571),25 (0.30638531942966674),34 (0.09373366012416688)
608802newsML.xml,13 (0.2745204424205986),39 (0.25931255780360685),24 (0.15400079167646563)
480627newsML.xml,16 (0.7462105751334228),43 (0.22861681234197342),22 (0.015677663029629977)
568877newsML.xml,16 (0.7645130886690323),24 (0.11133472640268116),10 (0.10675077116238255)
478231newsML.xml,23 (0.6178741284385465),42 (0.29097063090675995),36 (0.04209596612687973)
694467newsML.xml,24 (0.2774137641872461),14 (0.20131019374637354),5 (0.12207017139662188)
608519newsML.xml,16 (0.8379588531242265),10 (0.08530070262830088),12 (0.055851555358578615)
531574newsML.xml,17 (0.6019765175242322),40 (0.23479093818724078),48 (0.12148813463459572)
713360newsML.xml,6 (0.3587914011544865),17 (0.2764949115593105),9 (0.2733564637817365)
478141newsML.xml,39 (0.8612814108021583),19 (0.08917752789455491),36 (0.028177424939587158)
608669newsML.xml,32 (0.29185077878451),19 (0.19279598820436022),28 (0.17554134268205104)
608343newsML.xml,25 (0.4129628635814531),48 (0.34855646606720775),0 (0.10956147747901665)
478188newsML.xml,16 (0.39209594239381934),46 (0.18277242223667184),9 (0.1810748962714212)
568336newsML.xml,39 (0.769302847783661),25 (0.1490030289185372),43 (0.04952800548068928)
611644newsML.xml,19 (0.9807843137254855),49 (0.0003921568627451905),12 (0.0003921568627451905)
480557newsML.xml,39 (0.6379391565850329),42 (0.1246046704081634),43 (0.11032590079898862)
478970newsML.xml,11 (0.5663661514741689),12 (0.1226549027810816),33 (0.10495069506695706)
608175newsML.xml,39 (0.9373009358389333),38 (0.04898477844674505),49 (0.0002857142857150389)
713226newsML.xml,17 (0.34948098349104206),46 (0.32680919387011315),42 (0.12893585788143044)
608496newsML.xml,13 (0.6684406273749326),25 (0.14387965570435196),12 (0.13750488082822812)
478377newsML.xml,13 (0.4261235278931459),42 (0.21437353914804752),24 (0.1330295732393302)
478694newsML.xml,3 (0.35802848681814387),37 (0.2540202464567212),24 (0.10534116560152569)
694521newsML.xml,20 (0.4609447065770374),39 (0.13896908508905678),32 (0.13562416991700849)
568931newsML.xml,41 (0.7286832662125052),1 (0.1754009542444752),30 (0.09332624786257539)
611969newsML.xml,20 (0.6873609811447379),14 (0.20859418039731323),44 (0.05532004589174787)
667013newsML.xml,5 (0.5721408918662639),11 (0.3378636576101186),39 (0.03395349904778292)
480282newsML.xml,16 (0.29848768994146435),32 (0.2584632522948751),3 (0.17183702809396853)
608944newsML.xml,31 (0.2570958469008306),33 (0.2121083883161558),41 (0.15551576421338348)
658085newsML.xml,17 (0.4366063418945276),23 (0.2102929354554278),4 (0.17571053708729872)
611472newsML.xml,19 (0.8609242035489318),3 (0.12061425798947963),39 (0.0003846153846538805)
611191newsML.xml,19 (0.9215163782273162),6 (0.061340764629812985),49 (0.0003571428571431364)
611158newsML.xml,19 (0.9047060858285951),29 (0.07442434895399443),49 (0.000434782608696045)
